,Question,Theme,paragraph_id,Answer_text,Paragraph,Answer_start,index,Answer_possible
440,On what date was a study created to research the impart of women in direct involvement?,Canadian_Armed_Forces,181,5 February 1987,"In 1987, occupations and units with the primary role of preparing for direct involvement in combat on the ground or at sea were still closed to women: infantry, armoured corps, field artillery, air-defence artillery, signals, field engineers, and naval operations. On 5 February 1987, the Minister of National Defence created an office to study the impact of employing men and women in combat units. These trials were called Combat-Related Employment of Women.",268,440,True
441,Who created an office to study these effects?,Canadian_Armed_Forces,181,the Minister of National Defence,"In 1987, occupations and units with the primary role of preparing for direct involvement in combat on the ground or at sea were still closed to women: infantry, armoured corps, field artillery, air-defence artillery, signals, field engineers, and naval operations. On 5 February 1987, the Minister of National Defence created an office to study the impact of employing men and women in combat units. These trials were called Combat-Related Employment of Women.",285,441,True
442,By how much did opening these jobs to women increase the recruiting pool by?,Canadian_Armed_Forces,182,100 percent,"All military occupations were open to women in 1989, with the exception of submarine service, which opened in 2000. Throughout the 1990s, the introduction of women into the combat arms increased the potential recruiting pool by about 100 percent. It also provided opportunities for all persons to serve their country to the best of their abilities. Women were fully integrated in all occupations and roles by the government of Jean Chretien, and by 8 March 2000, even allowed to serve on submarines.",234,442,True
443,Which government was responsible in Canadian history for this fact?,Canadian_Armed_Forces,182,the government of Jean Chretien,"All military occupations were open to women in 1989, with the exception of submarine service, which opened in 2000. Throughout the 1990s, the introduction of women into the combat arms increased the potential recruiting pool by about 100 percent. It also provided opportunities for all persons to serve their country to the best of their abilities. Women were fully integrated in all occupations and roles by the government of Jean Chretien, and by 8 March 2000, even allowed to serve on submarines.",409,443,True
444,What is the hierarchy of the Canadian Armed Forces?,Canadian_Armed_Forces,184,It begins at the top with the most senior-ranking personnel and works its way into lower organizations.,The following is the hierarchy of the Canadian Armed Forces. It begins at the top with the most senior-ranking personnel and works its way into lower organizations.,61,444,True
445,Who's advice is the monarch supposed to follow regarding these orders?,Canadian_Armed_Forces,185,the advice of his or her ministers in Cabinet,"The Canadian constitution determines that the Commander-in-Chief of the Canadian Armed Forces is the country's sovereign, who, since 1904, has authorized his or her viceroy, the governor general, to exercise the duties ascribed to the post of Commander-in-Chief and to hold the associated title since 1905. All troop deployment and disposition orders, including declarations of war, fall within the royal prerogative and are issued as Orders in Council, which must be signed by either the monarch or governor general. Under the Westminster system's parliamentary customs and practices, however, the monarch and viceroy must generally follow the advice of his or her ministers in Cabinet, including the prime minister and minister of national defence, who are accountable to the elected House of Commons.",641,445,True
446,Who is the highest ranking member of the Armed Forces?,Canadian_Armed_Forces,186,the Chief of the Defence Staff,"The Armed Forces' 115,349 personnel are divided into a hierarchy of numerous ranks of officers and non-commissioned members. The governor general appoints, on the advice of the prime minister, the Chief of the Defence Staff (CDS) as the highest ranking commissioned officer in the Armed Forces and who, as head of the Armed Forces Council, is in command of the Canadian Forces. The Armed Forces Council generally operates from National Defence Headquarters (NDHQ) in Ottawa, Ontario. On the Armed Forces Council sit the heads of Canadian Joint Operations Command and Canadian Special Operations Forces Command, the Vice Chief of the Defence Staff, and the heads of the Royal Canadian Navy, the Canadian Army, the Royal Canadian Air Force and other key Level 1 organizations. The sovereign and most other members of the Canadian Royal Family also act as colonels-in-chief, honorary air commodores, air commodores-in-chief, admirals, and captains-general of Canadian Forces units, though these positions are ceremonial.",193,446,True
447,What are some of the members of the Armed Forces Council?,Canadian_Armed_Forces,186,"the heads of the Royal Canadian Navy, the Canadian Army, the Royal Canadian Air Force and other key Level 1 organizations.","The Armed Forces' 115,349 personnel are divided into a hierarchy of numerous ranks of officers and non-commissioned members. The governor general appoints, on the advice of the prime minister, the Chief of the Defence Staff (CDS) as the highest ranking commissioned officer in the Armed Forces and who, as head of the Armed Forces Council, is in command of the Canadian Forces. The Armed Forces Council generally operates from National Defence Headquarters (NDHQ) in Ottawa, Ontario. On the Armed Forces Council sit the heads of Canadian Joint Operations Command and Canadian Special Operations Forces Command, the Vice Chief of the Defence Staff, and the heads of the Royal Canadian Navy, the Canadian Army, the Royal Canadian Air Force and other key Level 1 organizations. The sovereign and most other members of the Canadian Royal Family also act as colonels-in-chief, honorary air commodores, air commodores-in-chief, admirals, and captains-general of Canadian Forces units, though these positions are ceremonial.",652,447,True
448,Where do Canadian Forces members go for training?,Canadian_Armed_Forces,187,Saint-Jean-sur-Richelieu,"Canada's Armed forces operate out of 27 Canadian Forces bases (CFB) across the country, including NDHQ. This number has been gradually reduced since the 1970s with bases either being closed or merged. Both officers and non-commissioned members receive their basic training at the Canadian Forces Leadership and Recruit School in Saint-Jean-sur-Richelieu. Officers will generally either directly enter the Canadian Armed Forces with a degree from a civilian university, or receive their commission upon graduation from the Royal Military College of Canada. Specific element and trade training is conducted at a variety of institutions throughout Canada, and to a lesser extent, the world.",329,448,True
449,What are the four divisions?,Canadian_Armed_Forces,189,"the 2nd Canadian Division, the 3rd Canadian Division, the 4th Canadian Division and the 5th Canadian Division","The Canadian Army is headed by the Commander of the Canadian Army and administered through four divisions—the 2nd Canadian Division, the 3rd Canadian Division, the 4th Canadian Division and the 5th Canadian Division—the Canadian Army Doctrine and Training System and the Canadian Army Headquarters.",106,449,True
450,The Canadian Army Headquarters are located in what division?,Canadian_Armed_Forces,189,the 5th Canadian Division,"The Canadian Army is headed by the Commander of the Canadian Army and administered through four divisions—the 2nd Canadian Division, the 3rd Canadian Division, the 4th Canadian Division and the 5th Canadian Division—the Canadian Army Doctrine and Training System and the Canadian Army Headquarters.",190,450,True
451,What medical group is present at all Brigades but not part of it?,Canadian_Armed_Forces,190,a field ambulance,"Currently, the Regular Force component of the Army consists of three field-ready brigade groups: 1 Canadian Mechanized Brigade Group, at CFB Edmonton and CFB Shilo; 2 Canadian Mechanized Brigade Group, at CFB Petawawa and CFB Gagetown; and 5 Canadian Mechanized Brigade Group, at CFB Valcartier and Quebec City. Each contains one regiment each of artillery, armour, and combat engineers, three battalions of infantry (all scaled in the British fashion), one battalion for logistics, a squadron for headquarters/signals, and several smaller support organizations. A tactical helicopter squadron and a field ambulance are co-located with each brigade, but do not form part of the brigade's command structure.",598,451,True
452,Where is most of the major training performed?,Canadian_Armed_Forces,191,"CFB Gagetown, CFB Montreal and CFB Wainwright.","The 2nd, 3rd and 4th Canadian Divisions each has a Regular Force brigade group, and each division except the 1st has two to three Reserve Force brigades groups. In total, there are ten Reserve Force brigade groups. The 5th Canadian Division and the 2nd Canadian Division each have two Reserve Force brigade groups, while the 4th Canadian Division and the 3rd Canadian Division each have three Reserve Force brigade groups. Major training and support establishments exist at CFB Gagetown, CFB Montreal and CFB Wainwright.",474,452,True
453,What are some locations of the air bases?,Canadian_Armed_Forces,193,"Alberta, Saskatchewan, Manitoba","Major air bases are located in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Nova Scotia, and Newfoundland and Labrador, while administrative and command and control facilities are located in Winnipeg and North Bay. A Canadian component of the NATO Airborne Early Warning Force is also based at NATO Air Base Geilenkirchen near Geilenkirchen, Germany.",49,453,True
454,Where are the command facilities located?,Canadian_Armed_Forces,193,Winnipeg and North Bay,"Major air bases are located in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Nova Scotia, and Newfoundland and Labrador, while administrative and command and control facilities are located in Winnipeg and North Bay. A Canadian component of the NATO Airborne Early Warning Force is also based at NATO Air Base Geilenkirchen near Geilenkirchen, Germany.",214,454,True
455,Where is the Canadian component of the NATO located?,Canadian_Armed_Forces,193,"Geilenkirchen, Germany","Major air bases are located in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Nova Scotia, and Newfoundland and Labrador, while administrative and command and control facilities are located in Winnipeg and North Bay. A Canadian component of the NATO Airborne Early Warning Force is also based at NATO Air Base Geilenkirchen near Geilenkirchen, Germany.",350,455,True
456,What patrols are organized from these locations?,Canadian_Armed_Forces,194,Arctic sovereignty patrols.,"The RCAF and Joint Task Force (North) (JTFN) also maintain at various points throughout Canada's northern region a chain of forward operating locations, each capable of supporting fighter operations. Elements of CF-18 squadrons periodically deploy to these airports for short training exercises or Arctic sovereignty patrols.",298,456,True
457,What is the the Information Management Group responsible for?,Canadian_Armed_Forces,197,electronic warfare and the protection of the Armed Forces' communications and computer networks,"Among other things, the Information Management Group is responsible for the conduct of electronic warfare and the protection of the Armed Forces' communications and computer networks. Within the group, this operational role is fulfilled by the Canadian Forces Information Operations Group, headquartered at CFS Leitrim in Ottawa, which operates the following units: the Canadian Forces Information Operations Group Headquarters (CFIOGHQ), the Canadian Forces Electronic Warfare Centre (CFEWC), the Canadian Forces Network Operation Centre (CFNOC), the Canadian Forces Signals Intelligence Operations Centre (CFSOC), the Canadian Forces Station (CFS) Leitrim, and the 764 Communications Squadron. In June 2011 the Canadian Armed Forces Chief of Force Development announced the establishment of a new organization, the Directorate of Cybernetics, headed by a Brigadier General, the Director General Cyber (DG Cyber). Within that directorate the newly established CAF Cyber Task Force, has been tasked to design and build cyber warfare capabilities for the Canadian Armed Forces.",87,457,True
458,When was the Directorate of Cybernetics established?,Canadian_Armed_Forces,197,June 2011,"Among other things, the Information Management Group is responsible for the conduct of electronic warfare and the protection of the Armed Forces' communications and computer networks. Within the group, this operational role is fulfilled by the Canadian Forces Information Operations Group, headquartered at CFS Leitrim in Ottawa, which operates the following units: the Canadian Forces Information Operations Group Headquarters (CFIOGHQ), the Canadian Forces Electronic Warfare Centre (CFEWC), the Canadian Forces Network Operation Centre (CFNOC), the Canadian Forces Signals Intelligence Operations Centre (CFSOC), the Canadian Forces Station (CFS) Leitrim, and the 764 Communications Squadron. In June 2011 the Canadian Armed Forces Chief of Force Development announced the establishment of a new organization, the Directorate of Cybernetics, headed by a Brigadier General, the Director General Cyber (DG Cyber). Within that directorate the newly established CAF Cyber Task Force, has been tasked to design and build cyber warfare capabilities for the Canadian Armed Forces.",699,458,True
459,Who can temporarily be assigned the Health Serviced Group?,Canadian_Armed_Forces,198,Joint Task Force,"The Health Services Group is a joint formation that includes over 120 general or specialized units and detachments providing health services to the Canadian Armed Forces. With few exceptions, all elements are under command of the Surgeon General for domestic support and force generation, or temporarily assigned under command of a deployed Joint Task Force through Canadian Joint Operations Command.",341,459,True
460,What type of support does The Health Services Group provide?,Canadian_Armed_Forces,198,domestic support,"The Health Services Group is a joint formation that includes over 120 general or specialized units and detachments providing health services to the Canadian Armed Forces. With few exceptions, all elements are under command of the Surgeon General for domestic support and force generation, or temporarily assigned under command of a deployed Joint Task Force through Canadian Joint Operations Command.",250,460,True
461,Who commands the reserves?,Canadian_Armed_Forces,200,Chief of Reserves and Cadets,"Approximately 26,000 citizen soldiers, sailors, and airmen and women, trained to the level of and interchangeable with their Regular Force counterparts, and posted to CAF operations or duties on a casual or ongoing basis, make up the Primary Reserve. This group is represented, though not commanded, at NDHQ by the Chief of Reserves and Cadets, who is usually a major general or rear admiral, and is divided into four components that are each operationally and administratively responsible to its corresponding environmental command in the Regular Force – the Naval Reserve (NAVRES), Land Force Reserve (LFR), and Air Reserve (AIRRES) – in addition to one force that does not fall under an environmental command, the Health Services Reserve under the Canadian Forces Health Services Group.",315,461,True
462,What branch are the majority of COATS members?,Canadian_Armed_Forces,201,officers of the Cadet Instructors Cadre,"The Cadet Organizations Administration and Training Service (COATS) consists of officers and non-commissioned members who conduct training, safety, supervision and administration of nearly 60,000 cadets aged 12 to 18 years in the Canadian Cadet Movement. The majority of members in COATS are officers of the Cadet Instructors Cadre (CIC) branch of the CAF. Members of the Reserve Force Sub-Component COATS who are not employed part-time (Class A) or full-time (Class B) may be held on the ""Cadet Instructor Supplementary Staff List"" (CISS List) in anticipation of employment in the same manner as other reservists are held as members of the Supplementary Reserve.",292,462,True
463,What do Canadian Rangers perform?,Canadian_Armed_Forces,202,provide surveillance and patrol services,"The Canadian Rangers, who provide surveillance and patrol services in Canada's arctic and other remote areas, are an essential reserve force component used for Canada's exercise of sovereignty over its northern territory.",26,463,True
464,What is suitable for CAF members to wear on any occasion?,Canadian_Armed_Forces,203,service dress,"Only service dress is suitable for CAF members to wear on any occasion, barring ""dirty work"" or combat. With gloves, swords, and medals (No. 1 or 1A), it is suitable for ceremonial occasions and ""dressed down"" (No. 3 or lower), it is suitable for daily wear. Generally, after the elimination of base dress (although still defined for the Air Force uniform), operational dress is now the daily uniform worn by most members of the CF, unless service dress is prescribed (such as at the NDHQ, on parades, at public events, etc.). Approved parkas are authorized for winter wear in cold climates and a light casual jacket is also authorized for cooler days. The navy, most army, and some other units have, for very specific occasions, a ceremonial/regimental full dress, such as the naval ""high-collar"" white uniform, kilted Highland, Scottish, and Irish regiments, and the scarlet uniforms of the Royal Military Colleges.",5,464,True
465,What can be worn in cold winter weather?,Canadian_Armed_Forces,203,Approved parkas,"Only service dress is suitable for CAF members to wear on any occasion, barring ""dirty work"" or combat. With gloves, swords, and medals (No. 1 or 1A), it is suitable for ceremonial occasions and ""dressed down"" (No. 3 or lower), it is suitable for daily wear. Generally, after the elimination of base dress (although still defined for the Air Force uniform), operational dress is now the daily uniform worn by most members of the CF, unless service dress is prescribed (such as at the NDHQ, on parades, at public events, etc.). Approved parkas are authorized for winter wear in cold climates and a light casual jacket is also authorized for cooler days. The navy, most army, and some other units have, for very specific occasions, a ceremonial/regimental full dress, such as the naval ""high-collar"" white uniform, kilted Highland, Scottish, and Irish regiments, and the scarlet uniforms of the Royal Military Colleges.",527,465,True
466,What is only worn for very specific occasions?,Canadian_Armed_Forces,203,a ceremonial/regimental full dress,"Only service dress is suitable for CAF members to wear on any occasion, barring ""dirty work"" or combat. With gloves, swords, and medals (No. 1 or 1A), it is suitable for ceremonial occasions and ""dressed down"" (No. 3 or lower), it is suitable for daily wear. Generally, after the elimination of base dress (although still defined for the Air Force uniform), operational dress is now the daily uniform worn by most members of the CF, unless service dress is prescribed (such as at the NDHQ, on parades, at public events, etc.). Approved parkas are authorized for winter wear in cold climates and a light casual jacket is also authorized for cooler days. The navy, most army, and some other units have, for very specific occasions, a ceremonial/regimental full dress, such as the naval ""high-collar"" white uniform, kilted Highland, Scottish, and Irish regiments, and the scarlet uniforms of the Royal Military Colleges.",730,466,True
467,What are some of the authorized head dresses for the CAF?,Canadian_Armed_Forces,204,"beret, wedge cap, ballcap","Authorized headdress for the Canadian Armed Forces are the: beret, wedge cap, ballcap, Yukon cap, and tuque (toque). Each is coloured according to the distinctive uniform worn: navy (white or navy blue), army (rifle green or ""regimental"" colour), air force (light blue). Adherents of the Sikh faith may wear uniform turbans (dastar) (or patka, when operational) and Muslim women may wear uniform tucked hijabs under their authorized headdress. Jews may wear yarmulke under their authorized headdress and when bareheaded. The beret is probably the most widely worn headgear and is worn with almost all orders of dress (with the exception of the more formal orders of Navy and Air Force dress), and the colour of which is determined by the wearer's environment, branch, or mission. Naval personnel, however, seldom wear berets, preferring either service cap or authorized ballcaps (shipboard operational dress), which only the Navy wear. Air Force personnel, particularly officers, prefer the wedge cap to any other form of headdress. There is no naval variant of the wedge cap. The Yukon cap and tuque are worn only with winter dress, although clearance and combat divers may wear tuques year-round as a watch cap. Soldiers in Highland, Scottish, and Irish regiments generally wear alternative headdress, including the glengarry, balmoral, tam o'shanter, and caubeen instead of the beret. The officer cadets of both Royal Military Colleges wear gold-braided ""pillbox"" (cavalry) caps with their ceremonial dress and have a unique fur ""Astrakhan"" for winter wear. The Canadian Army wears the CG634 helmet.",60,467,True
468,What is the most popular head dress worn?,Canadian_Armed_Forces,204,The beret,"Authorized headdress for the Canadian Armed Forces are the: beret, wedge cap, ballcap, Yukon cap, and tuque (toque). Each is coloured according to the distinctive uniform worn: navy (white or navy blue), army (rifle green or ""regimental"" colour), air force (light blue). Adherents of the Sikh faith may wear uniform turbans (dastar) (or patka, when operational) and Muslim women may wear uniform tucked hijabs under their authorized headdress. Jews may wear yarmulke under their authorized headdress and when bareheaded. The beret is probably the most widely worn headgear and is worn with almost all orders of dress (with the exception of the more formal orders of Navy and Air Force dress), and the colour of which is determined by the wearer's environment, branch, or mission. Naval personnel, however, seldom wear berets, preferring either service cap or authorized ballcaps (shipboard operational dress), which only the Navy wear. Air Force personnel, particularly officers, prefer the wedge cap to any other form of headdress. There is no naval variant of the wedge cap. The Yukon cap and tuque are worn only with winter dress, although clearance and combat divers may wear tuques year-round as a watch cap. Soldiers in Highland, Scottish, and Irish regiments generally wear alternative headdress, including the glengarry, balmoral, tam o'shanter, and caubeen instead of the beret. The officer cadets of both Royal Military Colleges wear gold-braided ""pillbox"" (cavalry) caps with their ceremonial dress and have a unique fur ""Astrakhan"" for winter wear. The Canadian Army wears the CG634 helmet.",521,468,True
469,What gives the federal government responsibility for national defense?,Canadian_Armed_Forces,205,The Constitution of Canada,"The Constitution of Canada gives the federal government exclusive responsibility for national defence, and expenditures are thus outlined in the federal budget. For the 2008–2009 fiscal year, the amount allocated for defence spending was CAD$18.9 billion. This regular funding was augmented in 2005 with an additional CAD$12.5 billion over five years, as well as a commitment to increasing regular force troop levels by 5,000 persons, and the primary reserve by 3,000 over the same period. In 2006, a further CAD$5.3 billion over five years was provided to allow for 13,000 more regular force members, and 10,000 more primary reserve personnel, as well as CAD$17.1 billion for the purchase of new trucks for the Canadian Army, transport aircraft and helicopters for the Royal Canadian Air Force, and joint support ships for the Royal Canadian Navy.",0,469,True
470,What were the cardinals assigned? ,Cardinal_(Catholicism),207,a church in Rome as his titular church or linked with one of the suburbicarian dioceses,"In 1059, the right of electing the pope was reserved to the principal clergy of Rome and the bishops of the seven suburbicarian sees. In the 12th century the practice of appointing ecclesiastics from outside Rome as cardinals began, with each of them assigned a church in Rome as his titular church or linked with one of the suburbicarian dioceses, while still being incardinated in a diocese other than that of Rome.[citation needed]",260,470,True
471,Who were the first people to be called cardinals in Rome? ,Cardinal_(Catholicism),209,the deacons of the seven regions of the city,"There is disagreement about the origin of the term, but general consensus that ""cardinalis"" from the word cardo (meaning 'pivot' or 'hinge') was first used in late antiquity to designate a bishop or priest who was incorporated into a church for which he had not originally been ordained. In Rome the first persons to be called cardinals were the deacons of the seven regions of the city at the beginning of the 6th century, when the word began to mean “principal,” “eminent,” or ""superior."" The name was also given to the senior priest in each of the ""title"" churches (the parish churches) of Rome and to the bishops of the seven sees surrounding the city. By the 8th century the Roman cardinals constituted a privileged class among the Roman clergy. They took part in the administration of the church of Rome and in the papal liturgy. By decree of a synod of 769, only a cardinal was eligible to become pope. In 1059, during the pontificate of Nicholas II, cardinals were given the right to elect the pope under the Papal Bull In nomine Domini. For a time this power was assigned exclusively to the cardinal bishops, but the Third Lateran Council in 1179 gave back the right to the whole body of cardinals. Cardinals were granted the privilege of wearing the red hat by Pope Innocent IV in 1244.",342,471,True
472,When were the Roman cardinals perceived as a privleged class among the Roman clergy?,Cardinal_(Catholicism),209,8th century,"There is disagreement about the origin of the term, but general consensus that ""cardinalis"" from the word cardo (meaning 'pivot' or 'hinge') was first used in late antiquity to designate a bishop or priest who was incorporated into a church for which he had not originally been ordained. In Rome the first persons to be called cardinals were the deacons of the seven regions of the city at the beginning of the 6th century, when the word began to mean “principal,” “eminent,” or ""superior."" The name was also given to the senior priest in each of the ""title"" churches (the parish churches) of Rome and to the bishops of the seven sees surrounding the city. By the 8th century the Roman cardinals constituted a privileged class among the Roman clergy. They took part in the administration of the church of Rome and in the papal liturgy. By decree of a synod of 769, only a cardinal was eligible to become pope. In 1059, during the pontificate of Nicholas II, cardinals were given the right to elect the pope under the Papal Bull In nomine Domini. For a time this power was assigned exclusively to the cardinal bishops, but the Third Lateran Council in 1179 gave back the right to the whole body of cardinals. Cardinals were granted the privilege of wearing the red hat by Pope Innocent IV in 1244.",664,472,True
473,What term was given to certain church men of honor?,Cardinal_(Catholicism),210,cardinal,"In cities other than Rome, the name cardinal began to be applied to certain church men as a mark of honour. The earliest example of this occurs in a letter sent by Pope Zacharias in 747 to Pippin III (the Short), ruler of the Franks, in which Zacharias applied the title to the priests of Paris to distinguish them from country clergy. This meaning of the word spread rapidly, and from the 9th century various episcopal cities had a special class among the clergy known as cardinals. The use of the title was reserved for the cardinals of Rome in 1567 by Pius V.",36,473,True
474,When was the title of cardinal reserved for the cardinals of Rome by Pius V?,Cardinal_(Catholicism),210,1567,"In cities other than Rome, the name cardinal began to be applied to certain church men as a mark of honour. The earliest example of this occurs in a letter sent by Pope Zacharias in 747 to Pippin III (the Short), ruler of the Franks, in which Zacharias applied the title to the priests of Paris to distinguish them from country clergy. This meaning of the word spread rapidly, and from the 9th century various episcopal cities had a special class among the clergy known as cardinals. The use of the title was reserved for the cardinals of Rome in 1567 by Pius V.",547,474,True
475,In what year was the letter sent?,Cardinal_(Catholicism),210,747,"In cities other than Rome, the name cardinal began to be applied to certain church men as a mark of honour. The earliest example of this occurs in a letter sent by Pope Zacharias in 747 to Pippin III (the Short), ruler of the Franks, in which Zacharias applied the title to the priests of Paris to distinguish them from country clergy. This meaning of the word spread rapidly, and from the 9th century various episcopal cities had a special class among the clergy known as cardinals. The use of the title was reserved for the cardinals of Rome in 1567 by Pius V.",182,475,True
476,In what year did the pope make the declaration?,Cardinal_(Catholicism),210,1567,"In cities other than Rome, the name cardinal began to be applied to certain church men as a mark of honour. The earliest example of this occurs in a letter sent by Pope Zacharias in 747 to Pippin III (the Short), ruler of the Franks, in which Zacharias applied the title to the priests of Paris to distinguish them from country clergy. This meaning of the word spread rapidly, and from the 9th century various episcopal cities had a special class among the clergy known as cardinals. The use of the title was reserved for the cardinals of Rome in 1567 by Pius V.",547,476,True
477,Who was in charge of the Ecumenical Council of Trent?,Cardinal_(Catholicism),211,Pope Pius IV,"In the year 1563 the influential Ecumenical Council of Trent, headed by Pope Pius IV, wrote about the importance of selecting good Cardinals. According to this historic council ""nothing is more necessary to the Church of God than that the holy Roman pontiff apply that solicitude which by the duty of his office he owes the universal Church in a very special way by associating with himself as cardinals the most select persons only, and appoint to each church most eminently upright and competent shepherds; and this the more so, because our Lord Jesus Christ will require at his hands the blood of the sheep of Christ that perish through the evil government of shepherds who are negligent and forgetful of their office.""",72,477,True
478,In what roles did cardinals have important roles?,Cardinal_(Catholicism),213,secular affairs.,"In early modern times, cardinals often had important roles in secular affairs. In some cases, they took on powerful positions in government. In Henry VIII's England, his chief minister was Cardinal Wolsey. Cardinal Richelieu's power was so great that he was for many years effectively the ruler of France. Richelieu successor was also a cardinal, Jules Mazarin. Guillaume Dubois and André-Hercule de Fleury complete the list of the ""four great"" cardinals to have ruled France.[citation needed] In Portugal, due to a succession crisis, one cardinal, Henry, King of Portugal, was crowned king, the only example of a cardinal-king.",62,478,True
479,Which cardinal acted a the leader of France due to his amount of power?,Cardinal_(Catholicism),213,Cardinal Richelieu,"In early modern times, cardinals often had important roles in secular affairs. In some cases, they took on powerful positions in government. In Henry VIII's England, his chief minister was Cardinal Wolsey. Cardinal Richelieu's power was so great that he was for many years effectively the ruler of France. Richelieu successor was also a cardinal, Jules Mazarin. Guillaume Dubois and André-Hercule de Fleury complete the list of the ""four great"" cardinals to have ruled France.[citation needed] In Portugal, due to a succession crisis, one cardinal, Henry, King of Portugal, was crowned king, the only example of a cardinal-king.",206,479,True
480,Who is the only person to ever become a cardinal king?,Cardinal_(Catholicism),213,"Henry, King of Portugal","In early modern times, cardinals often had important roles in secular affairs. In some cases, they took on powerful positions in government. In Henry VIII's England, his chief minister was Cardinal Wolsey. Cardinal Richelieu's power was so great that he was for many years effectively the ruler of France. Richelieu successor was also a cardinal, Jules Mazarin. Guillaume Dubois and André-Hercule de Fleury complete the list of the ""four great"" cardinals to have ruled France.[citation needed] In Portugal, due to a succession crisis, one cardinal, Henry, King of Portugal, was crowned king, the only example of a cardinal-king.",549,480,True
481,What did the composition of the cardinals consist of?,Cardinal_(Catholicism),214,"comprising six cardinal bishops, 50 cardinal priests, and 14 cardinal deacons.","Pope Sixtus V limited the number of cardinals to 70, comprising six cardinal bishops, 50 cardinal priests, and 14 cardinal deacons. Starting in the pontificate of Pope John XXIII, that limit has been exceeded. At the start of 1971, Pope Paul VI set the number of cardinal electors at a maximum of 120, but set no limit on the number of cardinals generally. He also established a maximum age of eighty years for electors. His action deprived twenty-five living cardinals, including the three living cardinals elevated by Pope Pius XI, of the right to participate in a conclave.[citation needed] Popes can dispense from church laws and have sometimes brought the number of cardinals under the age of 80 to more than 120. Pope Paul VI also increased the number of cardinal bishops by giving that rank to patriarchs of the Eastern Catholic Churches.",53,481,True
482,Pope Paul VI increse the number of cardinal electors to? ,Cardinal_(Catholicism),214,120,"Pope Sixtus V limited the number of cardinals to 70, comprising six cardinal bishops, 50 cardinal priests, and 14 cardinal deacons. Starting in the pontificate of Pope John XXIII, that limit has been exceeded. At the start of 1971, Pope Paul VI set the number of cardinal electors at a maximum of 120, but set no limit on the number of cardinals generally. He also established a maximum age of eighty years for electors. His action deprived twenty-five living cardinals, including the three living cardinals elevated by Pope Pius XI, of the right to participate in a conclave.[citation needed] Popes can dispense from church laws and have sometimes brought the number of cardinals under the age of 80 to more than 120. Pope Paul VI also increased the number of cardinal bishops by giving that rank to patriarchs of the Eastern Catholic Churches.",297,482,True
483,Pope Paul VI raised the cap on cardinal electors from 70 to what?,Cardinal_(Catholicism),214,120,"Pope Sixtus V limited the number of cardinals to 70, comprising six cardinal bishops, 50 cardinal priests, and 14 cardinal deacons. Starting in the pontificate of Pope John XXIII, that limit has been exceeded. At the start of 1971, Pope Paul VI set the number of cardinal electors at a maximum of 120, but set no limit on the number of cardinals generally. He also established a maximum age of eighty years for electors. His action deprived twenty-five living cardinals, including the three living cardinals elevated by Pope Pius XI, of the right to participate in a conclave.[citation needed] Popes can dispense from church laws and have sometimes brought the number of cardinals under the age of 80 to more than 120. Pope Paul VI also increased the number of cardinal bishops by giving that rank to patriarchs of the Eastern Catholic Churches.",297,483,True
484,Pope Paul VI had no cap on what?,Cardinal_(Catholicism),214,the number of cardinals generally,"Pope Sixtus V limited the number of cardinals to 70, comprising six cardinal bishops, 50 cardinal priests, and 14 cardinal deacons. Starting in the pontificate of Pope John XXIII, that limit has been exceeded. At the start of 1971, Pope Paul VI set the number of cardinal electors at a maximum of 120, but set no limit on the number of cardinals generally. He also established a maximum age of eighty years for electors. His action deprived twenty-five living cardinals, including the three living cardinals elevated by Pope Pius XI, of the right to participate in a conclave.[citation needed] Popes can dispense from church laws and have sometimes brought the number of cardinals under the age of 80 to more than 120. Pope Paul VI also increased the number of cardinal bishops by giving that rank to patriarchs of the Eastern Catholic Churches.",322,484,True
485,What rank did the Eminece decree assigned?,Cardinal_(Catholicism),217,Prince,"In 1630, Pope Urban VIII decreed their title to be Eminence (previously, it had been ""illustrissimo"" and ""reverendissimo"")  and decreed that their secular rank would equate to Prince, making them secondary only to the Pope and crowned monarchs.",176,485,True
486,What is the proper way to address a cardinal according to the Archdiocese of Milwaukee?,Cardinal_(Catholicism),218,Cardinal [First name] [Surname],"In accordance with tradition, they sign by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname as, for instance, ""John Card(inal) Doe"" or, in Latin, ""Ioannes Card(inalis) Cognomen"". Some writers, such as James-Charles Noonan, hold that, in the case of cardinals, the form used for signatures should be used also when referring to them in English. Official sources such as the Archdiocese of Milwaukee and Catholic News Service say that the correct form for referring to a cardinal in English is normally as ""Cardinal [First name] [Surname]"". This is the rule given also in stylebooks not associated with the Catholic Church. This style is also generally followed on the websites of the Holy See and episcopal conferences. Oriental Patriarchs who are created Cardinals customarily use ""Sanctae Ecclesiae Cardinalis"" as their full title, probably because they do not belong to the Roman clergy.",556,486,True
